STATION CODE,LOCATIONS,STATE,Temp,D.O. (mg/l),PH,CONDUCTIVITY (µmhos/cm),B.O.D. (mg/l),NITRATENAN N+ NITRITENANN (mg/l),FECAL COLIFORM (MPN/100ml),TOTAL COLIFORM (MPN/100ml)Mean,year,Water_Quality
1705,GHAGGAR AT U/S SARDULGARH,PUNJAB,22,5.2,7.4,914,7.2,2.58,1511.625,4068.625,2012,Good
1025,"GHAGGAR GHNAN1 AT ROAD BRDG. SIRSA,DEBWALI ROAD",HARYANA,27,6.4,7.9,1303.375,7.2,2.58,221,468,2012,Good
1026,GHAGGAR GHNAN2 AT CHANDARPUR ,HARYANA,27,6.6,7.8,1302,7.2,0.516,221,468,2012,Good
1887,GHAGGAR BEFORE OTTU WEIR (BEFORE MIXING OF SATLUJ CANAL ,HARYANA,27,6.4,8,1286,7.2,0.516,221,468,2012,Good
1718,GAGGAR RIVER WHEN ENTERING IN RAJASTHAN FROM HARYANA NEAR RD NO. 629,RAJASTHAN,33,4.8,7.5,280,2.4,0.72,3,4,2012,Poor
1871,"RIVER MARKANDA AT PAONTA, DISTT. SIRMOUR",HIMACHAL PRADESH,20.05,7.7,7.4,344,1.2,0.37,9,19,2012,Good
2624,MARKANDA U/S KALA AMB,HIMACHAL PRADESH,20.05,7.3,7,310,1.4,0.38,13,22,2012,Good
2625,MARKANDA D/S KALA AMB/ BOUNDARY OF HARYANA,HIMACHAL PRADESH,20.05,7.1,7.7,303,1.5,0.34,13,23,2012,Good
1884,KALA AMB D/S MARKANDA RIVER,HARYANA,20.05,4.0125,7.5,1303.375,7.2,1.75,221,468,2012,Poor
1870,"RIVER SUKHANA AT PARWANOO, DISTT. SOLAN",HIMACHAL PRADESH,20.05,6.2,7.5,788,7.2,2.58,105,235,2012,Good
2947,"JAWAI AT JAWAI DAM, SIROHI",RAJASTHAN,24,6,8.3,468,1.4,0.43,5,16,2012,Good
1717,"KODRA DAM, MOUNT ABU",RAJASTHAN,20.05,5.9,7.3,234,1.5,0.36,4,12,2012,Good
2948,"BANDI AT HEMAWAS DAM, PAL",RAJASTHAN,23,6.4,8,527,1.2,0.35,5,21,2012,Good
2949,"RIVER LUNI AT RANAKPUR DAM, RANAKPUR, PALI",RAJASTHAN,24,5.9,7.9,796,1.5,0.48,4,14,2012,Good
3305,"BANJAR AT MALANJKHAND NR W/S INTAKE POINT, JABALPUR",MADHYA PRADESH,23,7.3,7.4,388,2.1,0.58,221,46,2012,Good
2869,BARAK RIVER AT SENAPATI DISTT,MANIPUR,28,8.5,7.5,166,2.7,0.516,221,31,2012,Good
2838,"BARAK RIVER NR NONEY VILL., TAMENGLONG",MANIPUR,29,8.9,7,125,1.9,0.516,221,45,2012,Good
2868,"CHAKPIAT CHAKPIKARONG, CHANDEL",MANIPUR,30,8,7.8,144,2.1,0.516,221,51,2012,Good
1424,IMPHAL AT MAHABALI,MANIPUR,30,7.5,7.7,87,1.2,0.516,221,54,2012,Good
1457,IMPHAL AT KOIRENGEI,MANIPUR,28,8.5,7.6,84,2,0.516,221,16,2012,Good
1627,IMPHAL AT KYAMGEI,MANIPUR,29,8.4,7.5,103,1.9,0.516,221,75,2012,Good
1628,IMPHAL AT MINUTHONG,MANIPUR,30,8.7,7.2,117,3.2,0.516,221,52,2012,Good
2861,"IMPHAL AT KANGLA MOAT, IMPHAL WEST",MANIPUR,29,6.5,7.7,287,7.2,0.516,221,114,2012,Good
2862,"IMPHAL AT SAMUROU, IMPHAL WEST",MANIPUR,28,8.6,7.5,130,4.6,0.516,221,39,2012,Good
2864,"IMPHAL AT SEKMAI, IMPHAL EAST",MANIPUR,28,8.9,7.5,109,1.2,0.516,221,33,2012,Good
2874,IRANG RIVER AT TAMENGLONG ,MANIPUR,30,9.1125,8.4,246,1.2,0.516,221,10,2012,Good
1458,IRIL AT PORAMPET,MANIPUR,28,7.6,7.5,147,1.3,0.516,221,30,2012,Good
1624,IRIL AT LILONG,MANIPUR,29,8.7,7.6,202,1.2,0.516,221,60,2012,Good
2863,"IRIL AT KANGLA SIPHAI, IMPHAL EAST",MANIPUR,28,8.4,7.4,177,2.4,0.516,221,48,2012,Good
2873,"IRIL RIVER AT LILONG, UKHRUL",MANIPUR,29,8.7,7.6,203,2.5,0.516,221,59,2012,Good
2865,"JIRI RIVER AT JIRIMUKH JIRIBAM, IMPHAL EAST",MANIPUR,32,8.2,7.4,120,1.9,0.516,221,46,2012,Good
2866,"JIRI RIVER AT JIRI, IMPHAL EAST",MANIPUR,32,8,7.2,110,1.4,0.516,221,80,2012,Good
1925,KHUGA RIVER (CHURACHANDPUR),MANIPUR,30,8.4,7.6,213,1.5,0.516,221,20,2012,Good
2877,"KHUGA DAM ON KHUGA R, CHURACHANDPUR",MANIPUR,29,9.1125,7.8,174,1,0.516,221,16,2012,Good
1926,"KHUJAIROK, MOREH (CHANDEL)",MANIPUR,31,8.1,8,244,2.4,0.516,221,73,2012,Good
2878,LOKCHAO RIVER AT BISHNUPUR,MANIPUR,29,8.1,8,162,1.8,0.516,221,26,2012,Good
2867,MAHA RIVER AT CHANDEL,MANIPUR,30,8.7,7.6,163,2.6,0.516,221,24,2012,Good
2852,"MANIPUR AT SEKMAIJAN, THOUBAL",MANIPUR,29,8.7,7.6,143,1.9,0.516,221,58,2012,Good
2857,MANIPUR RIVER AT THOUBAL,MANIPUR,30,9.1125,7.6,208,1.9,0.516,221,30,2012,Good
2879,ETHAI BARRAGE ON MANIPUR R AT BISHNUPUR,MANIPUR,29,8.3,7.7,158,2,0.516,221,48,2012,Good
1625,NAMBUL RIVER AT HUMP BRIDGE,MANIPUR,29,5.9,7.1,338,6.6,0.516,221,522,2012,Good
1626,NAMBUL AT HEIRANGOITHONG,MANIPUR,30,4.3,7.4,269,7.2,0.516,221,412,2012,Poor
2858,"NAMBUL RIVER AT SAMUSANG,IMPHAL WEST",MANIPUR,29,8.2,7.1,109,3.3,0.516,221,12,2012,Good
2859,"SINGDA DAM AT NAMBUL, IMPHAL WEST",MANIPUR,28,9.1125,7.6,131,3.6,0.516,221,32,2012,Good
2860,"NAMBUL AT NAOREMTHONG, IMPHAL WEST",MANIPUR,29,7.4,7.1,116,2.7,0.516,221,55,2012,Good
2880,NAMBUL RIVER AT BISHNUPUR,MANIPUR,28,8.2,7.6,112,2.1,0.516,221,31,2012,Good
1927,"SEKMAI R, KAKCHING (THOUBAL)",MANIPUR,29,8.5,7.5,169,3.6,0.516,221,41,2012,Good
2853,"MAPITHEL DAM ON THOUBAL, THOUBAL",MANIPUR,28,9.1125,7.2,128,1,0.516,221,20,2012,Good
2854,"THOUBAL R AT PHADOM, THOUBAL",MANIPUR,29,8.9,7.6,221,1.7,0.516,221,30,2012,Good
2856,"THOUBAL RIVER AT YAIRIPOK, THOUBAL",MANIPUR,30,9.1125,7.6,193,2.3,0.516,221,41,2012,Good
2870,"THOUBAL  AT SHONG KONG, UKHRUL",MANIPUR,28,9.1,7.3,217,3.9,0.516,221,67,2012,Good
2871,"THOUBAL  AT YONGUL KONG, UKHRUL",MANIPUR,28,7.9,7.3,131,0.8,0.516,221,38,2012,Good
2872,"THOUBAL AT LITAN, UKHRUL",MANIPUR,29,8.7,7.4,176,2.2,0.516,221,36,2012,Good
2855,"WANGJING AT HEIROK, THOUBAL",MANIPUR,30,8.1,7.3,199,2.2,0.516,221,56,2012,Good
2876,"WANGJING RIVER AT WANGJING, THOUBAL",MANIPUR,30,8.2,7.4,170,2.2,0.516,221,39,2012,Good
3383,"BUGI RIVER AT MIBANPARA, SOUTH GARO HILLS",MEGHALAYA,25,7.7,7.2,95,1.8,2.58,22,50,2012,Good
3384,"BUGI AT DALU, SOUTH GARO HILLS",MEGHALAYA,25,7.6,7.2,92,2.5,2.41,20,45,2012,Good
3380,"DAMRING RIVER (KRISHNEI RIVER) AT RESUBELPARA, EAST GARO HILLS",MEGHALAYA,25,9.1125,7.2,65,1.5,2.31,21,55,2012,Good
1632,GANOL RIVER TURA,MEGHALAYA,24,7.6,7.4,93,2.1,2.58,276,408,2012,Good
1428,"KYRHUKHLA NR SUTNGA KHLIERIAT,JAINTIA HILLS ",MEGHALAYA,22,5.5,5.7,568,6.8,1.12,18,33,2012,Good
3369,"KYNSHI RIVER AT SOHIONG, WEST KHASI HILLS",MEGHALAYA,20.05,7.6,7,42,1.3,2.58,11,27,2012,Good
3370,"KYNSHI  AT NANGKHNUM, WEST KHASI HILLS",MEGHALAYA,20.05,7.7,7.1,45,1.4,2.58,9,22,2012,Good
3371,"KYNSHI RIVER AT RANIKOR, WEST KHASI HILLS",MEGHALAYA,23,8.3,7,59,1.7,2.58,16,33,2012,Good
3375,LUKHA RIVER AT MYNDIHATI (TRIBUTARY OF LUNAR),MEGHALAYA,25,6.9,5.7,1072,3.2,1.17,3,21,2012,Good
3376,LUKHA RIVER AT SUNAPUR (TRIBUTARY OF LUNAR),MEGHALAYA,25,7.7,6.3,250,2.1,2.58,180,326,2012,Good
3381,"MANDA RIVER (DUDHAI RIVER) AT JAMPA, EAST GARO HILLS",MEGHALAYA,25,8.8,7.3,37,1.5,1.62,15,35,2012,Good
3382,"MANDA RIVER (DUDHAI RIVER) AT WAGAISI, EAST GARO HILLS",MEGHALAYA,25,7.3,7.3,72,2,1.65,17,36,2012,Good
3377,"MYNTANG RIVER AT NARTIANG, JAYANTIA HILLS",MEGHALAYA,20.05,7.5,7,38,1.7,2.2,18,40,2012,Good
3378,"MYNTANG RIVER AT MYNSO, JAYANTIA HILLS",MEGHALAYA,22,7.8,7.1,44,1.6,2.58,15,33,2012,Good
1631,MYNTDU RIVER JOWAI,MEGHALAYA,20.05,7,7,100,2.4,2.58,1511.625,2600,2012,Good
3379,"MYNTDU RIVER AT LESHKA, JAYANTIA HILLS",MEGHALAYA,21,7.5,6.3,52,1.7,0.82,7,21,2012,Good
3367,"NONBAH RIVER AT NANGSTOIN MARKE, WEST KHASI HILLS",MEGHALAYA,20.05,6.4,6.9,61,2.6,2.58,227,538,2012,Good
3368,"NONBAH RIVER AT NANGSTOIN MARKE, WEST KHASI HILLS",MEGHALAYA,20.05,7.5,7.1,39,1.4,2.58,12,22,2012,Good
3372,"RILANG AT MAWKYRWAT, WEST KHASI HILLS",MEGHALAYA,20.05,8,7.1,41,1.4,2.58,10,25,2012,Good
1633,SIMSANG RIVER WILLIAMNAGAR,MEGHALAYA,24,7.9,7.3,93,1.7,2.58,295,418,2012,Good
3353,"UMIAM MAWPHLANG RIVER AT NONGKREM, EAST KHASI HILLS",MEGHALAYA,20.05,7.5,6.9,69,1.9,2.58,20,49,2012,Good
3354,"UMIAM MAWPHLANG RIVER AT UMTYNGNGAR, EAST KHASI HILLS",MEGHALAYA,20.05,7.9,7.2,46,1.7,2.58,20,45,2012,Good
3355,"UMIAM MAWPHLANG RIVER AT MAWPHLANG, EAST KHASI HILLS",MEGHALAYA,20.05,8,7.2,42,1.4,2.47,5,31,2012,Good
3356,"UMIAM MAWPHLANG RIVER AT SHELLA, EAST KHASI HILLS",MEGHALAYA,25,7.7,7.1,101,1.5,2.58,16,43,2012,Good
